Chemical species: H2 He H2O CO2
P (bar) | log_H2: -2σ | log_H2: -1σ | log_H2: median | log_H2: +1σ | log_H2: +2σ 
3.51119173e+00 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
2.84803587e+00 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
2.31012970e+00 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
1.87381742e+00 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
1.51991108e+00 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
1.23284674e+00 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
1.00000000e+00 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
8.11130831e-01 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
6.57933225e-01 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
5.33669923e-01 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
4.32876128e-01 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
3.51119173e-01 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
2.84803587e-01 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
2.31012970e-01 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
1.87381742e-01 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
1.51991108e-01 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
1.23284674e-01 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
1.00000000e-01 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
8.11130831e-02 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
6.57933225e-02 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
5.33669923e-02 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
4.32876128e-02 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
3.51119173e-02 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
2.84803587e-02 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
2.31012970e-02 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
1.87381742e-02 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
1.51991108e-02 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
1.23284674e-02 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
1.00000000e-02 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
8.11130831e-03 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
6.57933225e-03 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
5.33669923e-03 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
4.32876128e-03 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
3.51119173e-03 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
2.84803587e-03 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
2.31012970e-03 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
1.87381742e-03 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
1.51991108e-03 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
1.23284674e-03 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
1.00000000e-03 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
8.11130831e-04 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
6.57933225e-04 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
5.33669923e-04 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
4.32876128e-04 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
3.51119173e-04 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
2.84803587e-04 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
2.31012970e-04 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
1.87381742e-04 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
1.51991108e-04 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
1.23284674e-04 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
1.00000000e-04 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
8.11130831e-05 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
6.57933225e-05 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
5.33669923e-05 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
4.32876128e-05 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
3.51119173e-05 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
2.84803587e-05 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
2.31012970e-05 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
1.87381742e-05 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
1.51991108e-05 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
1.23284674e-05 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
1.00000000e-05 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
8.11130831e-06 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
6.57933225e-06 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
5.33669923e-06 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
4.32876128e-06 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
3.51119173e-06 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
2.84803587e-06 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
2.31012970e-06 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
1.87381742e-06 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
1.51991108e-06 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
1.23284674e-06 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
1.00000000e-06 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
8.11130831e-07 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
6.57933225e-07 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
5.33669923e-07 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
4.32876128e-07 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
3.51119173e-07 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
2.84803587e-07 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
2.31012970e-07 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
1.87381742e-07 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
1.51991108e-07 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
1.23284674e-07 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
1.00000000e-07 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
P (bar) | log_H2O: -2σ | log_H2O: -1σ | log_H2O: median | log_H2O: +1σ | log_H2O: +2σ 
1.00000000e+02 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
8.11130831e+01 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
6.57933225e+01 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
5.33669923e+01 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
4.32876128e+01 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
3.51119173e+01 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
2.84803587e+01 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
2.31012970e+01 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
1.87381742e+01 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
1.51991108e+01 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
1.23284674e+01 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
1.00000000e+01 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
8.11130831e+00 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
6.57933225e+00 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
5.33669923e+00 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
4.32876128e+00 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
3.51119173e+00 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
2.84803587e+00 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
2.31012970e+00 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
1.87381742e+00 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
1.51991108e+00 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
1.23284674e+00 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
1.00000000e+00 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
8.11130831e-01 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
6.57933225e-01 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
5.33669923e-01 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
4.32876128e-01 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
3.51119173e-01 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
2.84803587e-01 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
2.31012970e-01 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
1.87381742e-01 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
1.51991108e-01 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
1.23284674e-01 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
1.00000000e-01 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
8.11130831e-02 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
6.57933225e-02 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
5.33669923e-02 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
4.32876128e-02 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
3.51119173e-02 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
2.84803587e-02 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
2.31012970e-02 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
1.87381742e-02 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
1.51991108e-02 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
1.23284674e-02 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
1.00000000e-02 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
8.11130831e-03 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
6.57933225e-03 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
5.33669923e-03 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
4.32876128e-03 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
3.51119173e-03 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
2.84803587e-03 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
2.31012970e-03 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
1.87381742e-03 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
1.51991108e-03 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
1.23284674e-03 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
1.00000000e-03 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
8.11130831e-04 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
