Chemical species: H2 He H2O SO2
P (bar) | log_H2: -2σ | log_H2: -1σ | log_H2: median | log_H2: +1σ | log_H2: +2σ 
1.00000000e-06 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
8.11130831e-07 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
6.57933225e-07 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
5.33669923e-07 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
4.32876128e-07 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
3.51119173e-07 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
2.84803587e-07 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
2.31012970e-07 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
1.87381742e-07 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
1.51991108e-07 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
1.23284674e-07 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
1.00000000e-07 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
P (bar) | log_H2O: -2σ | log_H2O: -1σ | log_H2O: median | log_H2O: +1σ | log_H2O: +2σ 
1.00000000e+02 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
8.11130831e+01 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
6.57933225e+01 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
5.33669923e+01 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
4.32876128e+01 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
3.51119173e+01 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
2.84803587e+01 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
2.31012970e+01 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
1.87381742e+01 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
1.51991108e+01 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
1.23284674e+01 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
1.00000000e+01 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
8.11130831e+00 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
6.57933225e+00 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
5.33669923e+00 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
4.32876128e+00 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
3.51119173e+00 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
2.84803587e+00 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
2.31012970e+00 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
1.87381742e+00 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
1.51991108e+00 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
1.23284674e+00 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
1.00000000e+00 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
8.11130831e-01 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
6.57933225e-01 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
5.33669923e-01 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
4.32876128e-01 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
3.51119173e-01 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
2.84803587e-01 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
2.31012970e-01 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
1.87381742e-01 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
1.51991108e-01 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
1.23284674e-01 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
1.00000000e-01 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
8.11130831e-02 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
6.57933225e-02 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
5.33669923e-02 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
4.32876128e-02 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
3.51119173e-02 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
2.84803587e-02 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
2.31012970e-02 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
1.87381742e-02 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
1.51991108e-02 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
1.23284674e-02 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
1.00000000e-02 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
8.11130831e-03 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
6.57933225e-03 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
5.33669923e-03 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
4.32876128e-03 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
3.51119173e-03 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
2.84803587e-03 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
2.31012970e-03 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
1.87381742e-03 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
1.51991108e-03 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
1.23284674e-03 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
1.00000000e-03 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
8.11130831e-04 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
6.57933225e-04 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
5.33669923e-04 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
4.32876128e-04 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
3.51119173e-04 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
2.84803587e-04 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
2.31012970e-04 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
1.87381742e-04 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
1.51991108e-04 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
1.23284674e-04 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
1.00000000e-04 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
8.11130831e-05 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
6.57933225e-05 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
5.33669923e-05 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
4.32876128e-05 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
3.51119173e-05 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
2.84803587e-05 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
2.31012970e-05 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
1.87381742e-05 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
1.51991108e-05 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
1.23284674e-05 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
1.00000000e-05 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
8.11130831e-06 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
6.57933225e-06 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
5.33669923e-06 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
4.32876128e-06 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
3.51119173e-06 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
2.84803587e-06 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
2.31012970e-06 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
1.87381742e-06 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
1.51991108e-06 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
1.23284674e-06 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
1.00000000e-06 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
8.11130831e-07 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
6.57933225e-07 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
5.33669923e-07 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
4.32876128e-07 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
3.51119173e-07 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
2.84803587e-07 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
2.31012970e-07 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
1.87381742e-07 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
1.51991108e-07 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
1.23284674e-07 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
1.00000000e-07 -2.80767693 -2.02617510 -1.55285981 -1.21798615 -0.97248129 
P (bar) | log_SO2: -2σ | log_SO2: -1σ | log_SO2: median | log_SO2: +1σ | log_SO2: +2σ 
1.00000000e+02 -6.67708125 -6.15722381 -5.72550235 -5.30874221 -4.90135171 
